word,x,y,season
カイリュー(1),-38.58555,5.955889,1
サーフゴー(1),-37.26656,-8.440125,1
ガブリアス(1),19.937534,-32.286,1
セグレイブ(1),37.252968,-19.754677,1
ドドゲザン(1),8.705076,-31.226686,1
ドラパルト(1),-6.192871,21.92755,1
ヘイラッシャ(1),-25.51715,17.423311,1
サザンドラ(1),-17.306847,-10.168325,1
マスカーニャ(1),40.3478,-9.904409,1
ウルガモス(1),-16.086151,-24.645086,1
ミミッキュ(1),-29.602905,-0.41597936,1
ラウドボーン(1),-17.521933,14.1054325,1
ロトム(1),12.200507,-39.201916,1
コノヨザル(1),0.38625804,-40.346672,1
ゲンガー(1),20.478527,-0.40660837,1
キョジオーン(1),-15.904541,34.133152,1
マリルリ(1),39.803432,3.3414187,1
カバルドン(1),22.997293,23.59615,1
デカヌチャン(1),-16.79709,-2.7660654,1
ジバコイル(1),2.1834779,37.14713,1
ブラッキー(1),-0.7604902,-31.313147,1
ニンフィア(1),0.7210088,26.887215,1
アーマーガア(1),-25.37656,-19.142073,1
ドオー(1),-13.324472,22.871954,1
クエスパトラ(1),2.0262687,-24.585224,1
キラフロル(1),9.336885,29.054277,1
ハピナス(1),-29.62211,8.641384,1
トリトドン(1),-5.763486,-26.98473,1
キノガッサ(1),-25.971426,-9.906389,1
グレンアルマ(1),18.491482,-24.91073,1
クレベース(1),-7.20263,30.295395,1
オーロンゲ(1),31.600174,-4.517519,1
モロバレル(1),-33.122665,-23.57479,1
イルカマン(1),7.0980425,19.847582,1
ボーマンダ(1),19.273088,13.263626,1
ドヒドイデ(1),-37.82307,16.732466,1
ケンタロス(1),21.285688,-15.246656,1
パルシェン(1),13.429479,-2.2088034,1
パーモット(1),31.002913,6.0837765,1
ハラバリー(1),16.953085,-12.47785,1
ソウブレイズ(1),-26.055208,33.34969,1
ハッサム(1),-23.328924,-33.143562,1
バンバドロ(1),25.760307,31.488316,1
メタモン(1),-7.2092347,-5.776783,1
ノココッチ(1),31.597105,-26.108055,1
ギャラドス(1),28.629831,-14.037722,1
スコヴィラン(1),2.2117817,12.543095,1
フラージェス(1),16.02109,-1.3196003,1
ラッキー(1),-30.415768,23.975557,1
ハカドッグ(1),22.187956,-5.188545,1
シャワーズ(1),15.847788,21.397738,1
サーナイト(1),-10.539776,10.786919,1
ユキノオー(1),-8.150989,-21.896557,1
ウェーニバル(1),1.9806865,7.7943897,1
ペリッパー(1),-13.801195,-16.122425,1
ルカリオ(1),24.886423,12.228386,1
バンギラス(1),12.180431,-12.805814,1
フワライド(1),-21.213095,8.13651,1
グレイシア(1),5.5768466,12.1065,1
ミミズズ(1),-13.502612,-39.444145,1
セキタンザン(1),-2.0835085,36.26435,1
ノクタス(1),20.932104,-5.5612273,1
リキキリン(1),17.41468,1.6277647,1
コータス(1),17.098875,31.513802,1
リククラゲ(1),-13.262872,6.1169667,1
リーフィア(1),24.011522,-8.883575,1
ダグトリオ(1),-11.421527,-26.585136,1
ヤドラン(1),-1.6170521,3.8945947,1
ピカチュウ(1),-1.2971569,-19.595757,1
デデンネ(1),-13.730132,-8.139363,1
ワルビアル(1),6.4062133,-3.7865684,1
サンダース(1),38.255966,11.91643,1
オノノクス(1),-6.046989,2.003312,1
ウインディ(1),-2.987447,-15.494455,1
ブリムオン(1),26.561386,-21.463732,1
トロピウス(1),-14.57405,8.750494,1
カラミンゴ(1),24.59047,2.6324835,1
イッカネズミ(1),11.2654705,-22.207447,1
ワタッコ(1),18.211308,-20.550816,1
カジリガメ(1),16.402098,8.610835,1
ドンファン(1),27.611969,2.8527904,1
ミガルーサ(1),20.06497,-8.777338,1
アメモース(1),34.315052,4.8102317,1
イエッサン(1),-8.129713,-32.898254,1
モトトカゲ(1),14.871023,-17.871962,1
ドータクン(1),30.663773,17.181376,1
オニゴーリ(1),13.29116,12.158136,1
エーフィ(1),6.0624776,-15.513198,1
サーフゴー(2),-37.793198,-8.211251,2
カイリュー(2),-38.293816,6.3704605,2
ガブリアス(2),20.03104,-32.725914,2
ロトム(2),12.166659,-39.513,2
ドラパルト(2),-6.1709146,22.16646,2
セグレイブ(2),37.579353,-20.206945,2
マスカーニャ(2),40.47211,-9.20878,2
サザンドラ(2),-17.380606,-10.064482,2
ウルガモス(2),-15.597556,-24.79881,2
ミミッキュ(2),-28.126364,-0.21050543,2
ヘイラッシャ(2),-24.604286,17.736525,2
ドドゲザン(2),8.622796,-31.762634,2
ラウドボーン(2),-18.025717,14.035412,2
コノヨザル(2),0.8638553,-40.70669,2
キョジオーン(2),-16.101894,33.481113,2
アーマーガア(2),-25.066774,-19.91798,2
クエスパトラ(2),2.1201684,-25.054338,2
ジバコイル(2),1.9766623,37.863094,2
パーモット(2),31.394629,6.8739824,2
カバルドン(2),23.223455,22.809467,2
デカヌチャン(2),-15.676331,-3.2328925,2
ドオー(2),-13.112792,22.207571,2
ブラッキー(2),-0.8860319,-30.673374,2
ゲンガー(2),20.431522,-0.40690237,2
マリルリ(2),39.681946,2.5106642,2
バンバドロ(2),25.766846,31.486643,2
ハッサム(2),-23.4717,-32.166588,2
トリトドン(2),-5.687277,-26.849077,2
バンギラス(2),12.745582,-13.369081,2
キラフロル(2),8.756683,28.583733,2
パルシェン(2),13.138016,-2.1317656,2
ドヒドイデ(2),-38.453537,16.722672,2
ハピナス(2),-29.879023,8.498799,2
ニンフィア(2),1.1620235,27.364395,2
ミミズズ(2),-13.682639,-39.004353,2
オーロンゲ(2),31.356308,-3.8226721,2
ギャラドス(2),28.456964,-14.498007,2
キノガッサ(2),-26.75948,-9.910927,2
クレベース(2),-6.2258987,29.386581,2
モロバレル(2),-32.950832,-22.430357,2
モトトカゲ(2),14.901056,-17.892057,2
オニゴーリ(2),13.260468,12.271467,2
ケンタロス(2),21.198343,-14.85807,2
ルカリオ(2),25.42101,12.463092,2
グレンアルマ(2),18.353643,-24.970612,2
ハカドッグ(2),22.166689,-5.333343,2
イルカマン(2),6.701884,20.091389,2
オノノクス(2),-5.894606,1.666978,2
ハラバリー(2),16.947813,-12.47663,2
シャワーズ(2),16.008192,21.050549,2
フワライド(2),-21.383076,7.7974725,2
ブリムオン(2),27.14015,-21.941154,2
ストリンダー(2),-15.607823,-22.597816,2
サンダース(2),38.270405,11.874329,2
メタモン(2),-7.2192473,-5.7323494,2
ペリッパー(2),-14.069512,-16.522263,2
ラッキー(2),-29.926525,24.566319,2
ウインディ(2),-3.1243057,-16.040268,2
オドリドリ(2),-14.606708,32.63083,2
ハリテヤマ(2),-26.645348,7.561552,2
オリーヴァ(2),25.532507,24.592674,2
ノココッチ(2),31.597313,-26.106676,2
ヤドラン(2),-1.9764282,4.2559066,2
モスノウ(2),-4.119318,-1.6584213,2
ユキノオー(2),-8.123586,-21.722544,2
ヌメルゴン(2),21.765558,16.479319,2
タイカイデン(2),-5.4975643,5.2361794,2
イッカネズミ(2),11.90698,-22.791527,2
ヘラクロス(2),18.536772,-33.089344,2
ボーマンダ(2),19.241356,12.827678,2
エンニュート(2),6.5184426,18.130548,2
ソウブレイズ(2),-25.813719,33.87003,2
マニューラ(2),16.610857,29.285595,2
ハルクジラ(2),35.606396,-14.710056,2
ビビヨン(2),-7.579111,7.47681,2
ポットデス(2),20.738916,-3.391116,2
オトシドリ(2),17.991173,-3.3001318,2
フリージオ(2),2.7939107,-5.9119987,2
イエッサン(2),-8.439441,-33.27196,2
スコヴィラン(2),2.0825849,12.4246435,2
アマージョ(2),13.629482,-4.4930997,2
フラージェス(2),15.99685,-1.2783139,2
コータス(2),17.975544,31.747358,2
ゴチルゼル(2),11.778637,13.401118,2
ドータクン(2),30.243574,17.608833,2
ミガルーサ(2),20.049803,-8.718747,2
カジリガメ(2),16.399078,8.793025,2
エーフィ(2),5.739954,-15.330396,2
ウェーニバル(2),1.6807646,8.461073,2
ルガルガン(2),-23.993408,32.50287,2
ムクホーク(2),9.952489,-21.88304,2
サーナイト(2),-10.016752,10.806219,2
エクスレッグ(2),15.377205,-19.154716,2
ルチャブル(2),-20.315413,2.828245,2
ハバタクカミ(3),-27.217567,13.20211,3
セグレイブ(3),37.51117,-20.064367,3
サーフゴー(3),-37.574142,-8.238707,3
カイリュー(3),-38.63209,5.902359,3
ヘイラッシャ(3),-25.652058,18.36375,3
テツノドクガ(3),-8.179247,15.78742,3
ロトム(3),12.03188,-39.955482,3
テツノツツミ(3),5.4892974,-30.846804,3
マスカーニャ(3),40.06839,-9.705258,3
コノヨザル(3),0.22253111,-40.081245,3
ミミッキュ(3),-29.762968,-0.80306154,3
ドドゲザン(3),8.520188,-31.595757,3
カバルドン(3),22.436289,23.642485,3
ジバコイル(3),2.1938732,37.648716,3
ガブリアス(3),20.50873,-32.263165,3
クエスパトラ(3),1.7765028,-24.760838,3
トドロクツキ(3),-3.794102,-18.329338,3
アーマーガア(3),-25.8765,-19.18729,3
キョジオーン(3),-16.501368,33.59137,3
イダイナキバ(3),5.6912546,-30.841873,3
キノガッサ(3),-26.287083,-9.211006,3
ドラパルト(3),-6.2068043,21.592299,3
テツノブジン(3),11.244351,-16.596148,3
ウルガモス(3),-16.295717,-25.269016,3
ハッサム(3),-23.25223,-33.790234,3
ラウドボーン(3),-17.501747,14.169865,3
サザンドラ(3),-17.429863,-10.534009,3
イルカマン(3),7.814153,20.148745,3
ミミズズ(3),-13.688316,-39.549118,3
テツノカイナ(3),-32.250237,-10.177848,3
ドオー(3),-13.616743,21.97524,3
ブラッキー(3),-1.1027837,-31.127687,3
デカヌチャン(3),-16.723886,-2.4052126,3
モロバレル(3),-32.582905,-22.84245,3
ハピナス(3),-29.396442,9.5163965,3
スナノケガワ(3),-20.056494,19.470842,3
マリルリ(3),38.76636,2.7542856,3
ハラバリー(3),16.945713,-12.4666395,3
アラブルタケ(3),-3.5788536,13.901861,3
パーモット(3),30.963324,6.503797,3
ドヒドイデ(3),-37.72115,16.438545,3
テツノワダチ(3),-34.75462,-8.214595,3
クレベース(3),-7.565704,30.505411,3
ギャラドス(3),28.770937,-14.718407,3
ウェーニバル(3),1.9638726,8.196618,3
ニンフィア(3),1.1270145,27.168468,3
サケブシッポ(3),10.84386,19.56434,3
キラフロル(3),9.222025,28.14564,3
ユキノオー(3),-8.176381,-21.779211,3
ルカリオ(3),25.125805,12.417724,3
ラッキー(3),-30.445509,24.544262,3
ソウブレイズ(3),-26.175297,33.36223,3
リキキリン(3),17.472261,1.6452098,3
ゴチルゼル(3),18.70748,9.641637,3
コータス(3),17.447601,31.415462,3
バンバドロ(3),25.766314,31.47977,3
ゾロアーク(3),10.057804,-19.978968,3
イエッサン(3),-8.2073765,-32.800972,3
フワライド(3),-21.369066,7.9827757,3
ウインディ(3),-3.1949859,-15.603633,3
ママンボウ(3),-12.234207,-16.179659,3
オーロンゲ(3),31.980396,-4.1666746,3
ミガルーサ(3),20.07219,-8.643324,3
サーナイト(3),-10.439775,10.674905,3
ストリンダー(3),9.4599285,13.656818,3
オニゴーリ(3),13.282411,12.243495,3
サンダース(3),38.250313,12.179742,3
エクスレッグ(3),7.6086946,-14.6565895,3
ガケガニ(3),-35.330772,-11.254686,3
エルレイド(3),6.5617957,4.743513,3
ハカドッグ(3),22.164087,-5.2038064,3
ノココッチ(3),31.594288,-26.103045,3
テツノイバラ(3),-8.093397,0.08361159,3
トリトドン(3),-5.747719,-26.97825,3
ポットデス(3),-24.736567,-5.0534205,3
ベトベトン(3),-21.354515,-30.859509,3
チヲハウハネ(3),20.499102,1.5175741,3
タギングル(3),0.19600736,-8.107572,3
エーフィ(3),6.027743,-15.677045,3
テツノコウベ(3),9.672869,7.3625965,3
ゲンガー(3),20.787203,-0.38537523,3
リングマ(3),-8.870079,0.38885757,3
ハリテヤマ(3),-10.906279,-32.132935,3
ハルクジラ(3),-27.834627,-6.9287047,3
ゴーゴート(3),-22.443144,14.975133,3
バンギラス(3),12.863855,-12.327865,3
ハバタクカミ(4),-1.3766868,-39.816223,4
カイリュー(4),-38.888683,5.180456,4
サーフゴー(4),-37.01183,-7.7897778,4
セグレイブ(4),37.46419,-19.745018,4
テツノツツミ(4),-9.292676,13.9727335,4
ドドゲザン(4),9.032864,-31.630337,4
テツノドクガ(4),-18.582487,-11.320887,4
ヘイラッシャ(4),-24.962036,18.240984,4
ミミッキュ(4),-29.479002,-1.1184871,4
コノヨザル(4),0.4437571,-39.73666,4
マスカーニャ(4),39.947254,-9.744551,4
カバルドン(4),22.389595,23.745451,4
ジバコイル(4),2.02747,37.12353,4
トドロクツキ(4),-6.762471,9.329198,4
イダイナキバ(4),-2.6330073,-2.403787,4
キョジオーン(4),-15.710503,34.784737,4
アーマーガア(4),-25.775463,-19.461567,4
クエスパトラ(4),2.4739857,-24.59818,4
ロトム(4),11.895144,-39.372047,4
ガブリアス(4),19.508602,-31.843508,4
ドオー(4),-12.554092,21.88513,4
ウルガモス(4),-16.250656,-23.974981,4
ラウドボーン(4),-17.950407,14.722999,4
イルカマン(4),7.5145245,20.14049,4
ハッサム(4),-23.93258,-33.399513,4
テツノカイナ(4),-18.541208,-19.717028,4
アラブルタケ(4),13.5685,14.175911,4
ドラパルト(4),-5.236406,21.785557,4
キノガッサ(4),-25.51011,-10.100624,4
キラフロル(4),8.6903305,29.067396,4
ドヒドイデ(4),-38.162197,16.006767,4
ハピナス(4),-28.70267,8.377442,4
クレベース(4),-6.751665,30.883986,4
ウェーニバル(4),1.9131807,7.4900994,4
テツノブジン(4),-6.33734,-11.912356,4
モロバレル(4),-32.772255,-22.77943,4
ニンフィア(4),0.9416097,27.36402,4
サザンドラ(4),-17.258623,-10.912142,4
マリルリ(4),38.534763,2.073452,4
オーロンゲ(4),31.249046,-4.8761764,4
テツノコウベ(4),-32.672634,-21.036533,4
テツノワダチ(4),28.248852,16.318035,4
パーモット(4),31.505178,5.8324933,4
ギャラドス(4),28.977318,-14.67305,4
ハラバリー(4),16.941149,-12.4928255,4
ソウブレイズ(4),-25.934866,33.72252,4
デカヌチャン(4),-15.92414,-2.8273396,4
ブラッキー(4),-0.53853124,-30.824427,4
トリトドン(4),-5.7389216,-26.924337,4
コータス(4),17.81121,31.426275,4
ユキノオー(4),-8.096445,-21.98057,4
スナノケガワ(4),24.41717,24.893608,4
サケブシッポ(4),-9.33991,-18.481373,4
ゴチルゼル(4),3.706648,-38.24147,4
ママンボウ(4),4.526539,1.6576189,4
ワタッコ(4),18.237297,-20.537006,4
オリーヴァ(4),-3.1043139,-22.219645,4
ウインディ(4),-2.4611018,-15.846692,4
エルレイド(4),-3.455836,17.40396,4
エーフィ(4),5.7266893,-15.663019,4
ラッキー(4),-30.960268,24.202772,4
バンバドロ(4),25.759869,31.488329,4
ヤドキング(4),7.20788,-1.599903,4
ヤミラミ(4),17.370232,-9.17468,4
ヘラクロス(4),16.761782,1.5808746,4
ペリッパー(4),-13.333017,-15.994088,4
ゲンガー(4),20.457087,-0.43208036,4
ブリムオン(4),26.572762,-21.947565,4
ベトベトン(4),-37.387173,-11.347219,4
ブロロローム(4),11.7083845,25.414062,4
ナマズン(4),1.3522778,19.764109,4
ドンファン(4),27.623386,2.8463743,4
クレッフィ(4),23.533804,0.5894777,4
グレンアルマ(4),18.548073,-24.908445,4
ルチャブル(4),8.184768,0.49009737,4
ミミズズ(4),-13.369469,-39.498066,4
テツノイバラ(4),16.004602,-9.377801,4
パルシェン(4),13.4038105,-2.617502,4
ストリンダー(4),-23.1564,-27.469969,4
サーナイト(4),-10.42816,10.225108,4
イエッサン(4),-8.628419,-32.598537,4
カラミンゴ(4),24.52276,2.6733863,4
タギングル(4),24.913202,-0.22132486,4
ドータクン(4),30.620506,17.659452,4
イッカネズミ(4),10.904045,-22.57596,4
ポットデス(4),18.39555,-17.389862,4
バンギラス(4),12.198517,-12.218147,4
オドリドリ(4),13.65184,18.337883,4
ルカリオ(4),24.932476,12.878847,4
スコヴィラン(4),2.1904314,12.5138,4
ライチュウ(4),26.182186,-20.35788,4
カイリュー(5),-39.038017,6.5262465,5
ハバタクカミ(5),-32.688766,-25.16157,5
サーフゴー(5),-36.68001,-8.084264,5
ディンルー(5),-15.6545,12.645535,5
パオジアン(5),-11.253912,0.44596836,5
ミミッキュ(5),-28.928232,-0.81251484,5
テツノドクガ(5),0.39657298,38.085415,5
イーユイ(5),-18.323496,3.5983238,5
テツノツツミ(5),-30.107935,-21.730587,5
ヘイラッシャ(5),-26.195665,17.649588,5
ロトム(5),12.626378,-39.145226,5
コノヨザル(5),-0.2676453,-40.06485,5
キョジオーン(5),-15.5296955,34.50089,5
ハッサム(5),-22.991772,-33.55496,5
チオンジェン(5),18.312098,-31.577301,5
イダイナキバ(5),37.32644,-1.0208789,5
セグレイブ(5),37.456863,-19.658125,5
ガブリアス(5),20.238739,-32.09465,5
キノガッサ(5),-25.71537,-10.274256,5
テツノカイナ(5),-18.338879,3.5993762,5
ドオー(5),-13.301988,21.827337,5
キラフロル(5),8.491678,28.540142,5
マリルリ(5),39.781284,2.6285634,5
ウルガモス(5),-16.790203,-24.22658,5
トドロクツキ(5),-14.162463,-10.461996,5
カバルドン(5),23.270105,23.129343,5
ドドゲザン(5),8.926573,-30.370974,5
モロバレル(5),-33.072853,-23.722443,5
ドヒドイデ(5),-38.506798,15.783353,5
アーマーガア(5),-25.260738,-19.539612,5
クレベース(5),-7.528295,30.933035,5
ウインディ(5),-3.0306585,-15.831634,5
ラッキー(5),-31.089306,23.400805,5
マスカーニャ(5),39.495567,-9.8647175,5
サーナイト(5),-10.287712,10.982702,5
ハピナス(5),-29.66577,8.1325655,5
ドラパルト(5),-5.398454,21.682398,5
ジバコイル(5),1.4950126,37.421383,5
イルカマン(5),7.3282895,19.354424,5
ルカリオ(5),24.55392,12.601117,5
ニンフィア(5),0.94663644,27.518417,5
サザンドラ(5),-16.97345,-10.483565,5
テツノワダチ(5),10.03292,-19.90914,5
パルシェン(5),13.460507,-2.2011964,5
クエスパトラ(5),2.2083552,-24.757387,5
ラウドボーン(5),-16.828337,14.968875,5
ウェーニバル(5),1.7886952,7.824818,5
エルレイド(5),7.575896,-1.9525516,5
テツノブジン(5),-7.1456413,-30.707539,5
ゲンガー(5),20.4708,-0.41112658,5
パーモット(5),31.564535,6.24716,5
ユキノオー(5),-8.398582,-22.228071,5
スナノケガワ(5),-34.76152,-2.4806995,5
デカヌチャン(5),-16.282967,-2.2630537,5
バンギラス(5),11.889436,-12.773507,5
コータス(5),17.153526,31.6862,5
オリーヴァ(5),-17.777159,5.9783664,5
ケンタロス(5),21.005302,-15.428083,5
ゴチルゼル(5),-9.256449,-8.004117,5
スコヴィラン(5),2.1874979,12.565762,5
ハルクジラ(5),20.772606,-7.658842,5
ハリテヤマ(5),15.082544,20.120558,5
モトトカゲ(5),14.817904,-17.702333,5
シビルドン(5),11.44402,2.3006995,5
ワタッコ(5),18.233625,-20.474617,5
オーロンゲ(5),31.277578,-5.1616454,5
ムウマージ(5),2.428469,-17.453508,5
サダイジャ(5),3.1030858,-2.891094,5
ルガルガン(5),-34.335537,-7.0125847,5
